Question,Answer Options,Correct Answer,Dish,Origin,Question type
¿En qué país es tradicionalmente popular el plato Diacitrón?,"['Perú', 'México', 'España', 'Venezuela']",España,Diacitrón,España,country of traditional dish
¿Cuál es un ingrediente principal de Frutas de Aragón en España?,"['semilla de comino', 'almendro', 'fruta confitada', 'jugo de naranja']",fruta confitada,Frutas de Aragón,España,main ingredient
¿En qué país es tradicionalmente popular el plato Frutas de Aragón?,"['Perú', 'Venezuela', 'Argentina', 'España']",España,Frutas de Aragón,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Paelya?,"['España', 'Venezuela', 'Colombia', 'Perú']",España,Paelya,España,country of traditional dish
¿Cuál es un ingrediente principal de arroz con pollo en España?,"['albóndiga', 'carne de pollo', 'fruta confitada', 'lenteja']",carne de pollo,arroz con pollo,España,main ingredient
¿En qué país es tradicionalmente popular el plato arroz con pollo?,"['México', 'Perú', 'Argentina', 'España']",España,arroz con pollo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Olla podrida?,"['Colombia', 'México', 'España', 'Venezuela']",España,Olla podrida,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pan de Ousá?,"['Argentina', 'Venezuela', 'Perú', 'España']",España,Pan de Ousá,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Morteruelo?,"['Colombia', 'España', 'México', 'Venezuela']",España,Morteruelo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato arrope y calabazate?,"['Perú', 'Argentina', 'Colombia', 'España']",España,arrope y calabazate,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato roscón?,"['Argentina', 'Colombia', 'España', 'México']",España,roscón,España,country of traditional dish
¿Cuál es un ingrediente principal de Japonés (bollo) en España?,"['linguiça', 'yema de huevo', 'tortilla', 'falsa crema pastelera']",falsa crema pastelera,Japonés (bollo),España,main ingredient
¿En qué país es tradicionalmente popular el plato Japonés (bollo)?,"['España', 'Argentina', 'Venezuela', 'Perú']",España,Japonés (bollo),España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Limón serrano?,"['Venezuela', 'México', 'España', 'Argentina']",España,Limón serrano,España,country of traditional dish
¿Cuál es un ingrediente principal de Suso en España?,"['manos de cerdo', 'mosto', 'crema pastelera', 'Wantán']",crema pastelera,Suso,España,main ingredient
¿En qué país es tradicionalmente popular el plato Suso?,"['España', 'México', 'Venezuela', 'Perú']",España,Suso,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Juanguila?,"['España', 'Perú', 'México', 'Argentina']",España,Juanguila,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Rebojo?,"['Colombia', 'España', 'Venezuela', 'México']",España,Rebojo,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Medallones de Valjunquera?,"['Argentina', 'Colombia', 'Perú', 'España']",España,Medallones de Valjunquera,España,country of traditional dish
¿Cuál es un ingrediente principal de potaje en España?,"['carne', 'albóndiga', 'lenteja', 'huevo de gallina']",carne,potaje,España,main ingredient
¿En qué país es tradicionalmente popular el plato potaje?,"['Venezuela', 'Colombia', 'México', 'España']",España,potaje,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato Pulte?,"['Colombia', 'Venezuela', 'España', 'México']",España,Pulte,España,country of traditional dish
¿Cuál es un ingrediente principal de Caldo gallego en España?,"['azúcar glas', 'queso', 'lenteja', 'panceta']",panceta,Caldo gallego,España,main ingredient
¿En qué país es tradicionalmente popular el plato Caldo gallego?,"['México', 'Venezuela', 'Argentina', 'España']",España,Caldo gallego,España,country of traditional dish
¿En qué país es tradicionalmente popular el plato bocadillo?,"['Venezuela', 'Perú', 'España', 'Argentina']",España,bocadillo,España,country of traditional dish
¿Cuál es un ingrediente principal de buñuelos de bacalao en España?,"['col', 'jengibre', 'pasta', 'Bacalao en salazón']",Bacalao en salazón,buñuelos de bacalao,España,main ingredient
¿En qué país es tradicionalmente popular el plato buñuelos de bacalao?,"['Perú', 'Argentina', 'Colombia', 'España']",España,buñuelos de bacalao,España,country of traditional dish
